Arrests by Offense,Manassas,
,Adult,Juvenile
Murder,5,0
Manslaughter,0,0
Kidnaping,11,0
"Sex Offenses, Forcible",13,1
Robbery,15,2
Aggravated Assault,27,3
Simple Assault/Intimidation,258,13
Arson,3,0
Extortion/Blackmail,0,0
Burglary,36,1
Larceny,90,5
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,16,1
Fraud,54,3
Embezzlement,4,0
Stolen Property,6,0
Vandalism,20,3
Drug/Narcotic Offenses,211,16
"Sex Offenses, Nonforcible",2,0
Pornography,2,1
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,6,1
TOTAL GROUP A,780,50
Bad Checks,4,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,67,2
Driving Under Influence,153,1
Drunkenness,268,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,64,26
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,39,0
Conspiracy,0,0
All Other (except Traffic),122,13
TOTAL GROUP B,718,42
GRAND TOTAL,1498,92
