Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,13,1
Manslaughter,0,0
Kidnaping,57,2
"Sex Offenses, Forcible",67,29
Robbery,103,51
Aggravated Assault,105,20
Simple Assault/Intimidation,2799,489
Arson,12,15
Extortion/Blackmail,4,2
Burglary,220,86
Larceny,1475,543
Motor Vehicle Theft,40,11
Counterfeiting/Forgery,92,0
Fraud,257,10
Embezzlement,91,2
Stolen Property,44,6
Vandalism,204,76
Drug/Narcotic Offenses,1328,233
"Sex Offenses, Nonforcible",6,4
Pornography,8,0
Gambling,3,0
Prostitution,55,0
Bribery,4,0
Weapon Law Violations,244,33
TOTAL GROUP A,7231,1613
Bad Checks,32,0
Curfew/Loitering/Vagrancy,156,473
Disorderly Conduct,679,62
Driving Under Influence,2572,11
Drunkenness,3672,12
"Family Offenses, Nonforcible",102,1
Liquor Laws Violations,739,206
Peeping Tom,6,0
Runaway,0,1
Trespass of Real Property,495,58
Conspiracy,0,0
All Other (except Traffic),7711,214
TOTAL GROUP B,16164,1038
GRAND TOTAL,23395,2651
