Arrests by Offense,Martinsville,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",2,0
Robbery,10,1
Aggravated Assault,16,0
Simple Assault/Intimidation,164,16
Arson,0,0
Extortion/Blackmail,0,0
Burglary,13,0
Larceny,111,7
Motor Vehicle Theft,8,0
Counterfeiting/Forgery,0,0
Fraud,8,0
Embezzlement,2,0
Stolen Property,1,0
Vandalism,24,2
Drug/Narcotic Offenses,55,3
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,12,8
TOTAL GROUP A,430,37
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,42,1
Driving Under Influence,39,0
Drunkenness,81,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,19,4
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,21,2
Conspiracy,0,0
All Other (except Traffic),475,24
TOTAL GROUP B,677,31
GRAND TOTAL,1107,68
