Arrests by Offense,Accomack,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",6,5
Robbery,4,1
Aggravated Assault,17,1
Simple Assault/Intimidation,90,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,15,3
Larceny,87,7
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,5,0
Fraud,5,0
Embezzlement,1,0
Stolen Property,5,0
Vandalism,11,8
Drug/Narcotic Offenses,88,6
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,0
TOTAL GROUP A,347,34
Bad Checks,1,0
Curfew/Loitering/Vagrancy,1,8
Disorderly Conduct,13,0
Driving Under Influence,65,1
Drunkenness,76,1
"Family Offenses, Nonforcible",12,0
Liquor Laws Violations,15,5
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,11,1
Conspiracy,0,0
All Other (except Traffic),147,7
TOTAL GROUP B,341,23
GRAND TOTAL,688,57
