Arrests by Offense,Rockbridge,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",0,1
Robbery,1,0
Aggravated Assault,9,0
Simple Assault/Intimidation,64,0
Arson,1,0
Extortion/Blackmail,0,0
Burglary,10,1
Larceny,57,2
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,1,0
Fraud,6,0
Embezzlement,5,0
Stolen Property,0,0
Vandalism,14,0
Drug/Narcotic Offenses,36,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,5,5
TOTAL GROUP A,213,10
Bad Checks,5,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,4,1
Driving Under Influence,89,0
Drunkenness,51,0
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,15,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,17,0
Conspiracy,0,0
All Other (except Traffic),175,0
TOTAL GROUP B,360,2
GRAND TOTAL,573,12
