Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,8,0
"Sex Offenses, Forcible",22,1
Robbery,72,5
Aggravated Assault,189,8
Simple Assault/Intimidation,1162,92
Arson,11,1
Extortion/Blackmail,2,0
Burglary,91,30
Larceny,809,148
Motor Vehicle Theft,46,27
Counterfeiting/Forgery,20,0
Fraud,152,1
Embezzlement,38,0
Stolen Property,5,3
Vandalism,96,8
Drug/Narcotic Offenses,910,36
"Sex Offenses, Nonforcible",1,0
Pornography,2,1
Gambling,0,0
Prostitution,67,1
Bribery,0,0
Weapon Law Violations,65,11
TOTAL GROUP A,3771,373
Bad Checks,14,0
Curfew/Loitering/Vagrancy,3,8
Disorderly Conduct,23,48
Driving Under Influence,422,0
Drunkenness,2157,2
"Family Offenses, Nonforcible",9,1
Liquor Laws Violations,470,5
Peeping Tom,0,0
Runaway,0,15
Trespass of Real Property,667,20
Conspiracy,2,0
All Other (except Traffic),1511,102
TOTAL GROUP B,5278,201
GRAND TOTAL,9049,574
