Arrests by Offense,James City,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,13,0
"Sex Offenses, Forcible",8,8
Robbery,5,1
Aggravated Assault,15,8
Simple Assault/Intimidation,177,75
Arson,0,9
Extortion/Blackmail,0,0
Burglary,39,19
Larceny,156,75
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,12,0
Fraud,21,0
Embezzlement,13,1
Stolen Property,3,4
Vandalism,27,25
Drug/Narcotic Offenses,152,29
"Sex Offenses, Nonforcible",1,0
Pornography,2,5
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,12,6
TOTAL GROUP A,658,265
Bad Checks,4,0
Curfew/Loitering/Vagrancy,0,19
Disorderly Conduct,13,31
Driving Under Influence,296,3
Drunkenness,137,0
"Family Offenses, Nonforcible",5,0
Liquor Laws Violations,51,29
Peeping Tom,0,0
Runaway,0,46
Trespass of Real Property,15,6
Conspiracy,0,0
All Other (except Traffic),114,10
TOTAL GROUP B,635,144
GRAND TOTAL,1293,409
