Arrests by Offense,Charlotte,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",0,0
Robbery,2,0
Aggravated Assault,9,0
Simple Assault/Intimidation,79,2
Arson,1,0
Extortion/Blackmail,0,0
Burglary,5,0
Larceny,19,0
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,0,0
Fraud,0,0
Embezzlement,0,0
Stolen Property,2,0
Vandalism,4,0
Drug/Narcotic Offenses,36,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,3,0
TOTAL GROUP A,163,2
Bad Checks,36,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,4,0
Driving Under Influence,38,0
Drunkenness,40,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,0,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,7,0
Conspiracy,0,0
All Other (except Traffic),113,0
TOTAL GROUP B,239,1
GRAND TOTAL,402,3
