Arrests by Offense,Appomattox,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",3,0
Robbery,0,0
Aggravated Assault,4,1
Simple Assault/Intimidation,13,9
Arson,1,0
Extortion/Blackmail,0,0
Burglary,4,3
Larceny,32,3
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,1,0
Fraud,3,0
Embezzlement,2,0
Stolen Property,0,0
Vandalism,4,2
Drug/Narcotic Offenses,16,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,1,0
TOTAL GROUP A,86,18
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,4,7
Driving Under Influence,51,1
Drunkenness,11,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,6,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,2,2
Conspiracy,1,0
All Other (except Traffic),19,2
TOTAL GROUP B,95,12
GRAND TOTAL,181,30
