Type Security of Structure,Number
Alarm/Audio,1096
Alarm/Silent,259
Bars/Grate,91
Camera,294
Dog,142
Dead Bolt,1786
Locked,8741
Unlocked,1759
Exterior Lights,310
Interior Lights,127
Fence,170
Guard,75
Neighborhood Watch,13
Other,183
None,2705
