Group B Offense Categories,Male,Female,"Rate per 100,000 Inhabitants"
Bad Checks,2957,3749,89.91
Curfew/Loitering/Vagrancy Violations,1716,786,33.55
Disorderly Conduct,4932,2134,94.74
Driving Under the Influence,20971,4423,340.48
Drunkenness,24298,3796,376.68
"Family Offenses, Nonviolent",929,416,18.03
Liquor Law Violations,7398,2546,133.33
Peeping Tom,62,0,0.83
Runaway,1815,2585,58.99
Trespass of Real Property,6955,1842,117.95
Conspiracy to Commit Group A Offense,69,25,1.26
Conspiracy to Commit Group B Offense,14,8,0.29
All Other Offenses,66354,23220,1201
Total Group B Arrests,138470,45530,2467.04
