Offenses,Persons Arrested,,Percent Crime Distribution by Gender,
,Male,Female,Male,Female
Murder/Nonnegligent Manslaughter ,270,36,0.3,0.12
Negligent Manslaughter  ,9,1,0.01,0
Kidnapping  ,799,69,0.9,0.23
Forcible Rape ,380,2,0.43,0.01
Forcible Sodomy  ,220,7,0.25,0.02
Sexual Assault with an Object ,81,,0.09,
Forcible Fondling  ,583,16,0.65,0.05
Robbery ,1504,134,1.69,0.44
Aggravated Assault ,3486,1164,3.91,3.85
Simple Assault ,25277,9236,28.38,30.52
Intimidation  ,1337,436,1.5,1.44
Arson ,260,50,0.29,0.17
Extortion/Blackmail ,28,15,0.03,0.05
Burglary/Breaking & Entering  ,3344,390,3.75,1.29
Pocket-picking ,145,76,0.16,0.25
Purse-snatching  ,21,13,0.02,0.04
Shoplifting ,6191,5017,6.95,16.58
Theft from Building ,429,198,0.48,0.65
Theft from Coin-Operated Machine or Device ,38,11,0.04,0.04
Theft from Motor Vehicle ,470,61,0.53,0.2
Theft of Motor Vehicle Parts or Accessories  ,98,7,0.11,0.02
All Other Larceny  ,7231,3211,8.12,10.61
Motor Vehicle Theft  ,1220,225,1.37,0.74
Counterfeiting/Forgery  ,1515,1206,1.7,3.98
False Pretenses/Swindle/Confidence Game  ,1514,799,1.7,2.64
Credit Card/Automatic Teller Machine Fraud  ,182,187,0.2,0.62
Impersonation  ,239,97,0.27,0.32
Welfare Fraud  ,13,45,0.01,0.15
Wire Fraud ,22,4,0.02,0.01
Embezzlement ,720,788,0.81,2.6
Stolen Property Offenses ,874,145,0.98,0.48
Destruction.Damage/Vandalism of Property  ,3588,865,4.03,2.86
Drug/Narcotic Violations  ,22968,4901,25.79,16.19
Drug Equipment Violations ,187,63,0.21,0.21
Incest  ,15,2,0.02,0.01
Statutory Rape ,134,1,0.15,0
Pornography/Obscene Material ,59,10,0.07,0.03
Betting/Wagering ,51,5,0.06,0.02
Operating/Promoting/Assisting Gambling  ,1,,0,
Gambling Equipment Violations ,3,2,0,0
Sports Tampering  ,4,,0,
Prostitution ,224,462,0.25,1.53
Assisting or Promoting Prostitution  ,61,20,0.07,0.07
Bribery ,11,1,0.01,0
Weapon Law Violations  ,3262,288,3.66,0.95
TOTAL ,89068,30266,100,100
