Location,Number of Offenses
Air/Bus/Train Terminal,369
Bank/Savings & Loan,437
Bar/Night Club,681
Church/Synagogue/Temple,670
Commercial/Office Building,4957
Construction Site,2497
Convenience Store,9134
Department/Discount Store,13121
Drug Store/Dr Office/Hospital,2180
Field/Woods,805
Government/Public Building,1233
Grocery/Supermarket,5546
Highway/Road/Alley,12544
Hotel/Motel/Etc.,1874
Jail/Penitentiary,84
Lake/Waterway,259
Liquor Store,232
Parking Lot/Garage,19733
Rental/Storage Facility,494
Residence/Home,46379
Restaurant,2750
School/College,6393
Service/Gas Station,9072
Specialty Store,5200
Other/Unknown,10416
TOTAL,157060
