Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,302,255,47,128
Bedford PD,22,21,1,2
Bristol PD,56,49,7,21
Buena Vista PD,15,14,1,1
Charlottesville PD,111,103,8,28
Chesapeake PD,340,290,50,119
Clifton Forge PD,10,10,0,6
Colonial Heights PD,49,43,6,4
Covington PD,16,15,1,13
Danville PD,132,113,19,8
Emporia PD,24,23,1,10
Fairfax PD,62,56,6,16
Falls Church PD,31,23,8,12
Franklin PD,29,28,1,12
Fredericksburg PD,66,61,5,24
Galax PD,24,22,2,16
Hampton PD,270,230,40,106
Harrisonburg PD,73,69,4,24
Hopewell PD,48,44,4,13
Lexington PD,15,15,0,2
Lynchburg PD,150,139,11,71
Manassas PD,83,69,14,21
Manassas Park PD,25,22,3,10
Martinsville PD,54,51,3,6
Newport News PD,391,340,51,134
Norfolk PD,769,688,81,115
Norton PD,16,16,0,5
Petersburg PD,97,86,11,37
Poquoson PD,20,18,2,5
Portsmouth PD,234,205,29,95
Radford PD,30,25,5,14
Richmond PD,678,582,96,195
Roanoke PD,230,209,21,50
Salem PD,63,60,3,26
Staunton PD,49,45,4,16
Suffolk PD,155,133,22,47
Virginia Beach PD,766,674,92,165
Waynesboro PD,47,42,5,8
Williamsburg PD,35,30,5,13
Winchester PD,69,62,7,12
City Total,5656,4980,676,1610
