TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD,7750,8180.64,634,0,2,3,3,2,20,99,1,0,35,289,21,46,13,6,0,96,35,0,0,0,0,0,6
Altavista PD,3339,8685.23,290,0,0,0,3,1,4,57,0,0,18,117,13,9,10,2,0,48,20,0,0,0,0,0,8
Amherst PD,2220,2657.65,59,0,0,0,0,0,2,7,0,0,9,17,1,6,0,0,0,13,7,0,0,0,0,0,0
Appalachia PD,1756,9624.14,169,0,0,2,4,0,10,53,0,0,0,35,3,3,0,0,5,44,8,0,0,0,1,0,1
Ashland PD,6876,7824.31,538,0,10,4,5,7,7,102,0,0,22,219,14,12,33,1,1,164,17,1,0,0,0,0,6
Berryville PD,3030,5346.53,162,0,0,1,1,0,2,19,1,0,7,48,2,15,10,2,2,47,14,0,0,0,0,0,1
Big Stone Gap PD,5839,6970.37,407,0,2,1,1,4,6,51,3,0,32,206,8,6,3,0,0,115,20,0,0,0,0,0,4
Blacksburg PD,40066,3309.53,1326,1,4,12,16,9,35,289,9,0,103,561,25,21,53,5,5,311,58,1,0,0,0,0,24
Blackstone PD,3593,6790.98,244,0,1,1,0,7,8,47,0,0,15,106,6,10,1,2,1,51,12,0,0,0,0,0,3
Bluefield PD,4996,6505.2,325,0,0,1,0,1,1,7,1,0,12,192,6,48,8,2,0,39,9,0,1,0,0,0,0
Bowling Green PD0,946,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boykins PD0,596,5872.48,35,0,0,0,0,0,0,2,0,0,0,12,1,2,0,0,2,13,2,0,0,0,0,0,2
Bridgewater PD,5273,1668.87,88,0,0,0,0,0,0,3,0,0,10,34,6,3,2,1,2,22,14,0,0,0,0,0,4
Broadway PD,2415,1780.53,43,0,0,0,0,0,1,10,0,0,9,13,2,0,1,0,0,9,6,0,0,0,0,0,0
Brookneal PD,1237,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkeville PD0,480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Charles PD,1108,3700.36,41,0,0,0,0,0,1,6,0,0,6,17,3,0,1,0,0,6,1,0,0,0,0,0,0
Cedar Bluff PD,1071,3454.71,37,0,0,0,0,0,1,6,0,0,4,15,0,2,0,0,0,10,2,0,0,0,0,0,0
Chase City PD,2414,6503.72,157,0,0,0,0,3,7,35,1,0,1,63,0,1,2,0,0,36,10,0,0,0,0,0,4
Chatham PD,1297,1310.71,17,0,0,0,0,1,0,1,0,0,1,12,0,0,0,0,0,4,0,0,0,0,0,0,0
Chilhowie PD,1796,1559.02,28,0,0,0,0,0,1,2,0,0,3,15,0,2,0,0,0,9,1,0,0,0,0,0,0
Chincoteague PD,4358,4405.69,192,0,0,0,3,0,2,50,0,0,7,70,6,3,1,2,0,31,28,1,0,0,0,0,2
Christiansburg PD,17756,8408.42,1493,2,2,7,23,5,13,331,3,0,98,541,23,59,109,28,2,221,191,0,2,0,1,0,40
Clarksville PD,1297,5628.37,73,0,0,0,0,1,2,15,0,0,4,34,1,1,0,0,0,14,7,0,0,0,0,0,1
Clifton Forge PD,4716,6043.25,285,0,1,3,1,4,9,34,2,0,42,103,5,9,4,1,0,103,29,0,0,0,0,0,8
Clinchco PD9,411,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clintwood PD,1514,3236.45,49,0,0,1,0,1,0,5,0,0,8,19,0,1,2,0,1,10,9,0,0,0,0,0,2
Coeburn PD8,1967,1931.87,38,0,0,0,0,0,2,5,2,0,3,14,2,2,2,0,0,6,2,0,0,0,0,0,0
Colonial Beach PD,3241,4813.32,156,2,3,0,2,2,11,39,0,0,12,42,6,4,3,1,0,41,15,1,0,0,0,0,5
Courtland PD,1240,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crewe PD,2309,6063.23,140,0,0,0,0,2,2,8,1,0,0,89,2,2,0,0,0,33,0,0,0,0,0,0,1
Culpeper PD,10442,12248.61,1279,0,4,7,17,7,25,357,2,1,38,429,18,40,38,23,5,289,148,7,0,0,4,0,22
Damascus PD,1091,2749.77,30,0,0,0,0,0,0,2,0,0,2,15,0,1,0,0,0,6,6,0,0,0,0,0,0
Dayton PD,1333,2550.63,34,0,0,0,0,0,0,0,0,0,2,8,1,6,1,0,0,7,7,0,0,0,0,0,2
Dublin PD,2232,4435.48,99,0,0,0,0,0,0,19,0,0,2,51,0,9,4,0,0,8,10,0,0,0,0,0,4
Dumfries PD,4934,6384.27,315,0,0,2,2,9,10,38,0,0,45,93,34,5,8,3,1,60,44,1,0,0,0,0,4
Edinburg PD,835,1317.36,11,0,0,0,0,0,2,1,0,0,1,2,1,0,1,0,0,4,0,0,0,0,0,0,0
Elkton PD,2027,1628.02,33,0,0,0,0,1,2,5,0,0,2,7,3,3,1,0,0,2,6,0,0,0,0,0,4
Exmore PD2,1434,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmville PD,6959,129.32,9,0,0,1,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
Fries PD,575,173.91,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Front Royal PD,14160,8679.37,1229,0,6,9,11,8,22,282,5,0,52,473,35,42,51,8,2,294,42,6,0,0,0,0,7
Gate City PD,2090,95.69,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Glade Springs PD,1547,1292.82,20,0,0,0,0,0,0,2,0,0,0,13,0,1,0,0,0,5,0,0,0,0,0,0,1
Glasgow PD0,1024,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen Lyn PD,160,12500,20,0,0,0,1,0,0,2,0,0,4,7,1,1,0,0,0,1,8,0,0,0,0,0,1
Gordonsville PD,1557,2890.17,45,0,0,0,1,0,2,8,0,0,3,20,1,1,0,0,0,6,3,0,0,0,0,0,3
Gretna PD,1226,1712.88,21,0,0,0,4,0,0,5,0,0,1,8,2,0,0,0,0,2,1,0,0,0,0,0,0
Grottoes PD,2102,2711.7,57,0,0,0,0,1,1,4,0,0,3,24,0,2,3,0,0,20,3,0,0,0,0,0,0
Grundy PD,1030,1941.74,20,0,1,0,0,0,0,2,0,0,1,8,0,0,0,0,1,8,1,0,0,0,0,0,0
Halifax PD,1321,2119.6,28,1,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,13,2,0,0,0,0,0,1
Haymarket PD,960,4687.5,45,0,0,0,0,0,1,5,0,0,1,17,2,0,0,0,0,6,14,0,0,0,0,0,1
Haysi PD,179,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herndon PD,21721,5331.24,1158,2,7,2,6,7,24,292,1,0,27,408,40,7,50,7,1,261,86,5,1,0,1,0,10
Hillsville PD0,2760,6485.5,179,0,0,1,1,3,5,15,0,0,19,59,16,10,5,1,1,44,12,0,0,0,0,0,0
Honaker PD,922,3036.87,28,0,0,0,1,0,0,1,0,0,4,16,0,0,0,0,0,7,3,0,0,0,0,0,0
