COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD,90100,4495,4050,1,11,26,51,20,75,1123,15,0,217,1516,77,59,343,56,10,923,260,9,6,0,0,0,53
State Police,,,35,0,0,0,0,0,3,0,0,0,0,3,1,1,3,0,0,1,22,0,0,0,0,0,4
Arlington County PD6,193200,4822.46,9317,1,32,26,72,184,200,1280,8,3,361,3839,493,205,796,97,86,1507,830,5,2,5,48,1,61
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Chesterfield County PD,281300,6182.72,17392,9,52,50,194,206,265,4706,91,2,1373,6195,508,308,835,143,36,4173,1407,12,13,1,21,1,405
State Police,,,137,0,0,0,4,0,8,8,0,0,0,5,7,0,6,0,1,1,95,0,0,0,1,0,12
Fairfax County PDi,970811,3615.53,35100,3,185,33,106,349,197,6784,109,4,140,14077,1358,286,1856,221,32,11337,1523,0,9,2,57,0,534
State Police,,,217,0,0,2,0,0,28,16,1,0,0,22,10,10,23,1,3,8,98,1,0,0,0,0,14
Henrico County PD,279600,7127.32,19928,15,65,27,16,323,349,3374,112,3,1706,9652,837,410,572,34,43,3996,1356,6,2,0,9,1,287
State Police,,,86,0,0,0,0,0,1,0,0,0,0,5,2,0,7,0,0,1,65,0,0,0,0,0,7
James City County PD,55200,4309.78,2379,0,8,20,32,12,53,749,9,1,124,722,54,59,108,47,10,613,171,2,0,0,0,0,52
State Police,,,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,59,0,0,0,0,0,0
Prince George County PD,36700,2547.68,935,1,11,11,22,11,25,149,2,0,2,306,36,13,53,6,9,219,126,1,0,0,1,0,36
State Police,,,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,0,0,0,0,0,2
Prince William County PD,336738,4879.16,16430,7,56,28,129,212,308,2785,55,4,1026,6051,856,273,874,151,56,3084,1394,17,4,0,5,1,295
State Police,,,149,0,0,0,1,0,5,4,0,0,1,14,2,4,23,0,1,4,94,0,0,0,0,0,5
Roanoke County PD,80451,3900.51,3138,1,23,16,46,6,175,1138,16,1,188,855,96,113,358,41,5,366,413,1,7,0,0,0,56
State Police,,,33,0,0,1,2,0,1,2,0,0,0,2,0,2,7,0,0,0,14,0,0,0,1,0,1
