Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement,0,0,0,5,24,49,78
Stolen Property Offenses,0,2,35,47,50,62,196
Destruction/Damage/Vandalism,27,189,366,219,311,272,1384
Drug/Narcotic Violations,1,38,340,468,681,1091,2619
Drug Equipment Violations,0,0,4,4,3,7,18
Incest,0,0,1,0,0,0,1
Statutory Rape,0,0,2,2,3,8,15
Pornography/Obscene Material,0,0,4,3,2,2,11
Betting/Wagering,0,0,0,0,2,0,2
Operating/Promoting/Assisting Gambling,0,0,0,0,0,0,0
Gambling Equipment Violations,0,0,0,1,0,0,1
Sports Tampering,0,0,0,0,0,0,0
Prostitution,0,0,1,0,0,2,3
Assisting or Promoting Prostitution,0,0,0,0,0,1,1
Bribery,0,0,0,0,0,0,0
Weapon Law Violations,6,59,172,131,153,153,674
Total Group A Arrests,138,1643,4469,3431,3896,4304,17881
Bad Checks,0,0,2,0,0,5,7
Curfew/Loitering/Vagrancy Violations,1,73,430,482,664,708,2358
Disorderly Conduct,5,144,485,381,368,314,1697
Driving Under the Influence,2,0,5,10,78,152,247
Drunkenness,5,4,33,41,70,106,259
"Family Offenses, Nonviolent",0,0,4,3,1,7,15
Liquor Law Violations,0,7,149,223,463,763,1605
Peeping Tom,0,0,3,0,1,2,6
Runaway,24,216,1137,1076,1095,852,4400
Trespass of Real Property,6,41,229,219,256,304,1055
Conspiracy to Commit Group A Offense,0,0,1,1,3,5,10
Conspiracy to Commit Group B Offense,0,0,0,0,0,0,0
All Other Offenses,50,337,1470,1472,1966,2020,7315
Total Group B Arrests,93,822,3948,3908,4965,5238,18974
