Month,2010,2011,2012,2013,2014
January,438,541,495,462,522
February,353,465,494,402,492
March,490,500,600,456,487
April,477,525,554,514,505
May,592,598,652,535,571
June,591,580,581,523,567
July,607,554,574,568,552
August,558,540,583,546,577
September,531,536,529,557,556
October,481,537,522,569,540
November,483,492,414,511,486
December,434,520,452,517,534
Total,6035,6388,6450,6160,6389
