Month,2010,2011,2012,2013,2014
January,60,62,92,78,73
February,48,54,89,67,66
March,86,80,98,70,89
April,78,71,103,96,90
May,80,82,89,69,82
June,84,85,77,67,75
July,78,95,71,97,79
August,80,85,71,68,79
September,85,92,78,76,69
October,57,119,115,81,59
November,77,83,62,71,65
December,60,124,69,61,82
Total,873,1032,1014,901,908
