Month,2010,2011,2012,2013,2014
January,229,178,211,161,254
February,136,230,198,154,153
March,184,118,179,226,145
April,214,151,171,124,131
May,163,156,146,125,136
June,125,224,109,114,140
July,205,167,106,157,136
August,131,205,88,176,139
September,127,200,139,174,116
October,122,167,158,136,79
November,100,256,154,160,92
December,138,161,174,163,95
Total,1874,2213,1833,1870,1616
