Date,Mission,Location
2015-10-12,Subject Pursuit,Ashby Rd / Barlow Rd
2015-10-12,Armed Robbery,8500 blk Lee Hwy
2015-10-12,Missing Critical Adult,Stafford County
2015-10-11,Armed Robbery,8000 blk Central Park Cir
2015-10-11,Subject Pursuit,Franconia Rd / Loisdale Rd
2015-10-11,Missing Hiker,8700 blk Potomac Hills St
2015-10-11,Suicidal Subject,1900 blk Wilson Ln
2015-10-11,Hit and Run Accident,Lee Jackson Mem. Hwy / Waples Mill
2015-10-11,Hit and Run Accident,Little River Tp / I - 495
2015-10-10,Armed Robbery,9500 blk Richmond Hwy
