Date,Mission,Location
2015-08-15,Robbery,13000 blk Franklin Farm Dr
2015-08-15,Robbery,Sherwood Hall Ln/Mount Woodley Pl
2015-08-15,Aircraft Demo,Fairfax Criminal Justice Academy
2015-08-13,Medevac,11000 blk Charter Oak Ct
2015-08-13,Police Pursuit,Fairfax City
2015-08-12,Robbery,7100 blk Fullerton Rd
2015-08-12,Critical Missing Person,Prince William County
2015-08-12,Burglary,3900 blk Braddock Rd
2015-08-11,Sexual Assault,H St/14th St
2015-08-11,Critical Missing Person,15700 blk Lee Hwy
