Date,Mission,Location
2015-12-06,Armed Robbery,1900 blk Mervis Way
2015-12-05,Crowd Control,8300 blk Central Ave
2015-12-05,Armed Robbery,6200 blk Willowfield Way
2015-12-05,Armed Robbery,3000 blk Duke St
2015-12-04,Burglary of an Occupied Dwelling,14700 blk Bonnet Terr
2015-12-04,Service of Arrest Warrant,7900 blk Fordson Rd
2015-12-04,Medevac,11800 blk Saint Trinians Ct
2015-12-03,Hit and Run Accident w/Injury,Leesburg Pk / Colvin Run Rd
2015-12-03,Carjacking,12000 blk Edgemere Cir
2015-12-03,River Rescue,Clark County
