Date,Mission,Location
2015-05-05,Robbery,7700 blk Lafayette Forest Dr
2015-05-05,Police Pursuit,I-395 / I495
2015-05-05,Police Pursuit,Richmond Hwy / Fort Hunt Rd
2015-05-04,Critical Missing Adult,6400 blk Brandon Ave
2015-05-04,Robbery,2400 blk Angeline Dr
2015-05-03,Malicious Wounding,Field Encampment Rd / Bella Dr
2015-05-03,Robbery,6700 blk Scott Terr
2015-05-03,Missing Child,7200 blk Fullerton Ave
2015-05-03,Police Pursuit,Old Keene Mill Rd / Lee Chapel Rd
2015-05-03,Suicide Attempt,2000 blk White Oaks Dr
