Date,Mission,Location
2015-01-11,Medevac,8700 blk Sheridan Farms Ct
2015-01-10,Robbery,Richmond Hwy / Dart Dr
2015-01-10,Planned Protest,1100 blk Chain Bridge Rd
2015-01-09,Critical Missing Adult,Mt. Vernon Dr / Arlington Terr
2015-01-09,Hit and Run Accident,Fairfax County Pkwy / Telegraph Rd
2015-01-09,Robbery,8000 blk Morningview Ln
2015-01-08,Armed Robbery,6300 blk Springfield Mall Dr
2015-01-08,Bank Robbery,9500 blk Old Keene Mill Rd
2015-01-08,Medevac,3300 blk Holly Hill Rd
2015-01-07,Bank Robbery,City of Manassas
