Date,Mission,Location
2015-04-07,Critical Missing Adult,3800 blk Sulgrave Dr
2015-04-07,Subject Pursuit,Lee Hwy / Clifton Rd
2015-04-07,Hit and Run Accident,Shaker Woods Rd / Sugerland Rd
2015-04-06,Armed Robbery,6300 blk Leesburg Pk
2015-04-06,Robbery,8400 blk Russell Rd
2015-04-06,Traffic Pursuit,I 495 / Braddock Rd
2015-04-06,Missing Juvenile,6800 blk Trefor Ct
2015-04-05,Armed Robbery,5600 blk Pickwick Rd
2015-04-05,Robbery,9000 blk Silverbrook Rd
2015-04-05,Robbery,6000 blk Knollwood Dr
