Date,Mission,Location
2015-09-03,Armed Robbery,6100 blk North Kings Hwy
2015-09-03,Robbery,8000 blk Rolling Rd
2015-09-02,Critical Missing Adult,6600 blk Hulvey Terr
2015-08-31,Carjacking,6600 blk Richmond Hwy
2015-08-31,Armed Robbery,Prince William County
2015-08-31,Vehicle Pursuit,I-66/Route 123
2015-08-31,Armed Robbery,3100 blk Lockheed Blvd
2015-08-30,Medevac,Burke Centre Pkwy/Ox Rd
2015-08-29,Malicious Wounding,Prince William County
2015-08-29,Burglary of Occupied Dwelling,13300 blk Green Mallard Ct
