Date,Mission,Location
2014-09-15,Suspicious Event,5200 blk Prairie Willow Way
2014-09-14,Traffic Pursuit,Little River Tpk / Annandale Rd.
2014-09-14,Suspicious Event,Rt. 267 / Rt. 123
2014-09-14,Burglary,3800 blk Zelkova Ct.
2014-09-14,Accident,I-395 / Edsall Rd.
2014-09-13,Weapon Brandishing,7900 blk Audoubon ave.
2014-09-13,Robbery,4900 blk Beauregard St.
2014-09-12,Fight,8400 blk Old Mt. Vernon Rd.
2014-09-12,Tresspassing,13000 blk Springstone Dr.
2014-09-11,Carjacking,7100 Kenfig Pl.
