Date,Mission,Location
2015-09-09,Missing Child,6600 blk Haycock Rd
2015-09-08,Burglary/Stolen Auto,11500 blk Pine Cone Ct
2015-09-08,Armed Robbery,7700 blk Richmond Hwy
2015-09-07,Burglary,6500 blk Lakeview Dr
2015-09-07,Armed Robbery,6100 blk Arlington Blvd
2015-09-07,Hit and Run Accident,13000 blk Lee-Jackson Mem. Hwy
2015-09-07,Robbery,6100 blk Knollwood Dr
2015-09-06,Training,National Capital Region
2015-09-06,Critical Missing Adult,3500 blk Rocky Meadow Ct
2015-09-06,Armed Robbery,12500 blk Old Yates Ford Rd
