Date,Event,Location
2014-06-27,Family Day,National Reconnaissance Office
2014-06-17,Demo/Display,Dulles Airport
2014-06-14,Demo/Display,Chantilly Library
2014-06-14,Be A Pilot Day,Udvar Hazy Air and Space Museum
2014-05-26,Demo/Display,Chantilly Bible Church
2014-05-17,Demo/Display,Chantilly Days
2014-08-23,Demo/Display,Police Motorcycle Rodeo
2014-08-14,Demo/Display,Future Women Leaders in LE
2014-08-11,Road Dawg Camp,County Wide
2014-08-05,National Night Out,County Wide
2014-08-02,Helicopter Day,Udvar-Hazy Center
2014-07-15,Demo/Display,Madeira School
2014-09-02,Plane Pull,Dulles Airport
2014-08-23,Demo/Display,Police Motorcycle Rodeo
2014-08-14,Demo/Display,Future Women Leaders in LE
2014-08-11,Road Dawg Camp,County Wide
2014-08-05,National Night Out,County Wide
2014-08-02,Helicopter Day,Udvar-Hazy Center
2014-09-06,Demo/Display,Hangar
2014-09-02,Plane Pull,Dulles Airport
2014-08-23,Demo/Display,Police Motorcycle Rodeo
2014-08-14,Demo/Display,Future Women Leaders in LE
2014-08-11,Road Dawg Camp,County Wide
2014-09-20,Plane Pull,Dulles Airport
2014-09-24,Demo/Display,Police Explorers
2014-10-05,Demo/Display,Bull Run Park
2014-10-11,Demo/Display,Fire Station 8
2014-10-20,Trauma Committee Meeting,Fairfax Hospital
2014-10-23,Demo/Display,Hangar
2014-10-31,Demo/Display,Woodbridge
2014-11-06,Roll Call Training,Hangar
2014-12-06,Demo/Display,Cub Scouts
2014-12-23,Special,Santa's Ride
2014-12-30,Demo/Display,Hangar Demo
2015-03-11,Hangar Demo,Hangar / Fair Oaks C.A.C.
2015-03-12,Hangar Demo,Hangar / Local Students
2015-04-06,Demo,Elementary Students
2015-04-14,Demo,Driver Training Track
2015-04-18,Demo,International Day
2015-04-23,Demo,US State Department
2015-05-01,Demo,Fairfax Hospital
2015-05-04,Demo,Lee District Park
2015-05-07,Demo,Haymarket PD
2015-05-09,Demo,Mason District Park
2015-05-14,Demo,Police Academy
2015-06-05,Demo,Lord Byzantine Catholic Church
2015-06-13,Demo,Touch-a-Truck/Chantilly Library
2015-06-15,Demo,Franklin Middle School
2015-06-20,Demo,FCPD 75th Anniversary
2015-06-26,World Police and Fire Games,2015-06-26-07/05
2015-08-13,Future Women of Law Enforcement,Hangar
2015-08-24,Road DAWG Camp,Hangar
2015-10-01,Demo/Display,Woodson High School
2015-10-03,Northern Virginia Pride Festival,Bull Run Park
2015-10-10,Demo/Display,Fire Station 8 (Annandale)
2015-10-22,Mason Life Safety Fair,George Mason
2016-04-07,Career Day - Langston Hughes Middle School,
2016-04-09,Carnaval - Colin Powell Elem. School,
2016-04-10,Touch a Truck - Sully District Station,
2016-07-15,Public Safety Day - Madeira school,
2016-07-16,Cops and Kids Day - Police Academy,
2016-07-19,Police Camp - City of Manassas,
