Date,Mission,Location
2015-06-22,Missing Child,7700 blk Random Run Ln
2015-06-22,Hit and Run Accident,Hooes Rd / Bonniemill Ln
2015-06-21,Subject Pursuit,13800 blk Braddock Springs Rd
2015-06-21,Burglary,5800 blk Seminary Rd
2015-06-21,Assault w/Weapon - Shooting,Prince William County
2015-06-21,Demo of Aircraft,FCPD 75th Anniversary
2015-06-20,Demo of Aircraft,Udvar Hazy Museum
2015-06-20,Carjacking,7500 blk Snowpea Ct
2015-06-19,Arson,11400 blk Georgetown Pk
2015-06-19,Burglary,1500 blk Inlet Cove Ct
