Facility,Number of Fires,Causes,Deaths, Injuries,Property Damage,Number of Fire Drills
Davidson Hall,0,n/a,n/a,n/a,n/a,n/a
W.E. Dubois Hall,0,n/a,n/a,n/a,n/a,n/a
Gladys Hope Franklin White Hall,0,n/a,n/a,n/a,n/a,n/a
Harkness Hall,0,n/a,n/a,n/a,n/a,n/a
Holly Tree Inn,0,n/a,n/a,n/a,n/a,n/a
James Hall,0,n/a,n/a,n/a,n/a,n/a
Kelsey Hall,0,n/a,n/a,n/a,n/a,n/a
Kennedy Hall,0,n/a,n/a,n/a,n/a,n/a
Hattie McGrew Towers,0,n/a,n/a,n/a,n/a,n/a
Modulars,0,n/a,n/a,n/a,n/a,n/a
Moorings Hall,0,n/a,n/a,n/a,n/a,n/a
Motion Hall,0,n/a,n/a,n/a,n/a,n/a
Pierce Hall,0,n/a,n/a,n/a,n/a,n/a
Stone Manor,0,n/a,n/a,n/a,n/a,n/a
Strawberry Banks,0,n/a,n/a,n/a,n/a,n/a
Thurgood Marshall/Annex Hall,0,n/a,n/a,n/a,n/a,n/a
Twitchell Hall,0,n/a,n/a,n/a,n/a,n/a
Virginia Cleveland Hall,0,n/a,n/a,n/a,n/a,n/a
Wendell P. Holmes Jr. Hall,0,n/a,n/a,n/a,n/a,n/a
Douglas Wilder Hall,0,n/a,n/a,n/a,n/a,n/a
Winona Hall,0,n/a,n/a,n/a,n/a,n/a
