Location,Number of Offenses
Abandoned/Condemned Struc.,74
Air/Bus/Train Terminal,548
Amusement Park,101
Arena/Stadium,89
ATM Seperate from Bank,18
Auto Dealership,307
Bank/Savings & Loan,334
Bar/Night Club,679
Camp/Campground,68
Church/Synagogue/Temple,698
Commercial/Office Building,3062
Construction Site,1088
Convenience Store,5068
Daycare Facility,64
Department/Discount Store,19386
Dock/Freight Terminal,50
Drug Store/Dr Office/Hospital,1904
Farm Facility,176
Field/Woods,943
Gambling Facility,5
Government/Public Building,1250
Grocery/Supermarket,5518
Highway/Road/Alley,10256
Hotel/Motel/Etc.,1619
Industrial Site,222
Jail/Penitentiary,39
Lake/Waterway,228
Liquor Store,1413
Park/Playground,525
Parking Lot/Garage,14864
Rental/Storage Facility,368
Residence/Home,46355
Rest Area,8
Restaurant,2509
School-College,1699
School-Elem./Secondary,2940
Service/Gas Station,1642
Shopping Mall,1508
Specialty Store,3619
Other/Unknown,5634
Total,136878
