COUNTY TOTAL,9332,8269,1063,2119
OTHER AGENCY TOTAL,2875,2650,225,1064
CITY TOTAL,5926,5100,826,1494
COLLEGE AND UNIVERSITY TOTAL,623,531,92,333
STATE TOTAL,18756,16550,2206,5010
