Offense,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Bad Checks,3,10,23,13,42,23,31,159,276,210,199,190,132,97,38,51,1497
Curfew/Loitering/Vagrancy ,4,0,4,2,5,0,6,7,20,14,28,39,28,19,8,1,185
Disorderly Conduct ,154,156,193,255,239,195,181,640,461,309,276,235,227,124,58,57,3760
Driving Under the Influence ,300,469,630,1076,1143,1186,1140,4731,3782,2809,2424,2332,1978,1273,603,491,26367
Drunkenness ,581,767,794,1285,1238,1099,1061,4215,3504,2598,2595,3070,2853,1774,687,339,28460
"Family Offenses, Nonviolent ",7,21,16,44,58,74,69,455,507,432,308,283,186,78,24,6,2568
Liquor Laws ,1434,1695,1386,233,179,133,132,572,505,383,434,607,631,442,229,103,9098
Peeping Tom ,0,0,1,0,0,0,0,3,12,4,6,5,1,1,1,3,37
Runaway*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trespass of Real Property ,464,429,409,422,376,325,318,1154,871,664,584,597,717,483,249,180,8242
Conspiracy to Commit Group A Offense,10,14,9,11,3,5,6,23,13,13,16,5,2,1,1,1,133
All Other Offenses (except most traffic) ,2272,2875,3338,3819,3775,3892,3761,16877,13880,10051,8409,7590,5819,3358,1671,1544,92931
TOTAL,5229,6436,6803,7160,7058,6932,6705,28836,23831,17487,15279,14953,12574,7650,3569,2776,173278
* This category does not apply to adult arrests. ,,,,,,,,,,,,,,,,,
