Classification,Number of Offenses
Pocket Picking,628
Purse Snatching,225
Shoplifting,30406
Theft From Building,21970
Theft From Coin-Operated Machine or Device,229
Theft From Motor Vehicles,29858
Theft of Motor Vehicle Parts & Accessories,7693
All Other Larceny,45869
Total,136878
