Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,0,0,0,0,316,10
Manslaughter,0,0,0,0,0,0,4,0
Kidnaping,5,0,1,0,6,0,1095,42
"Sex Offenses, Forcible",6,0,0,0,6,0,1034,231
Robbery,12,0,0,0,12,0,1438,275
Aggravated Assault,14,0,2,0,16,0,4155,287
Simple Assault/Intimidation,108,2,25,0,133,2,32018,3631
Arson,1,0,0,0,1,0,128,74
Extortion/Blackmail,0,0,0,0,0,0,41,10
Burglary,19,0,1,0,20,0,3301,623
Larceny,131,4,66,0,197,4,28271,3667
Motor Vehicle Theft,1,0,6,2,7,2,733,126
Counterfeiting/Forgery,22,0,104,3,126,3,1944,31
Fraud,25,0,61,1,86,1,4455,133
Embezzlement,2,0,17,0,19,0,1511,16
Stolen Property,5,0,4,0,9,0,825,129
Vandalism,34,0,16,0,50,0,3323,833
Drug/Narcotic Offenses,506,8,289,17,795,25,37703,2602
"Sex Offenses, Nonforcible",0,0,0,0,0,0,84,7
Pornography,1,0,0,0,1,0,199,37
Gambling,0,0,1,0,1,0,55,2
Prostitution,0,0,0,0,0,0,850,3
Bribery,0,0,0,0,0,0,13,0
Weapon Law Violations,28,0,285,27,313,27,3199,301
TOTAL GROUP A,920,14,878,50,1798,64,126695,13070
Bad Checks,1,0,3,0,4,0,1497,0
Curfew/Loitering/Vagrancy,0,1,0,0,0,1,185,1451
Disorderly Conduct,48,0,14,0,62,0,3760,772
Driving Under Influence,373,1,127,0,500,1,26367,115
Drunkenness,641,0,313,3,954,3,28460,169
"Family Offenses, Nonforcible",2,0,10,1,12,1,2568,46
Liquor Laws Violations,403,5,1232,105,1635,110,9098,1339
Peeping Tom,2,0,0,0,2,0,37,1
Runaway,0,1,0,0,0,1,0,3378
Trespass of Real Property,120,0,532,27,652,27,8242,644
Conspiracy,0,0,2,0,2,0,133,19
All Other (except Traffic),208,6,6470,156,6678,162,92931,4527
TOTAL GROUP B,1798,14,8703,292,10501,306,173278,12461
GRAND TOTAL,2718,28,9581,342,12299,370,299973,25531
