Age,Number,Percent Distribution
Under 10 ,179,0.05
10--12 ,1268,0.39
13--14 ,5310,1.63
15,4837,1.49
16,6310,1.94
17,7627,2.34
18,12317,3.78
19,13694,4.21
20,13871,4.26
21,14210,4.37
22,13500,4.15
23,13153,4.04
24,12292,3.78
25-29 ,51290,15.76
30-34 ,40761,12.52
35-39 ,28774,8.84
40-44 ,24404,7.5
45-49 ,22923,7.04
50-54 ,18690,5.74
55-59 ,10987,3.38
60-64 ,5095,1.57
65 & Over ,4012,1.23
TOTAL ,325504,100
