Circumstances of Aggravated Assaults,Number
Argument,3646
Assault on Law Officer,322
Drug Dealing,41
Gangland,52
Juvenile Gang,13
Lover's Quarrel,419
Other Felony Involved,82
Other Circumstances,1806
Unknown Circumstances,2794
(Up to 2 circumstances can be reported for each victim.),
