Arrests by Offense,Richmond,
,Adult,Juvenile
Murder,41,0
Manslaughter,0,0
Kidnaping,54,1
"Sex Offenses, Forcible",36,11
Robbery,145,11
Aggravated Assault,330,27
Simple Assault/Intimidation,"1,114",358
Arson,7,15
Extortion/Blackmail,0,1
Burglary,131,12
Larceny,383,55
Motor Vehicle Theft,128,49
Counterfeiting/Forgery,50,3
Fraud,47,0
Embezzlement,10,0
Stolen Property,13,1
Vandalism,102,27
Drug/Narcotic Offenses,874,78
"Sex Offenses, Nonforcible",5,1
Pornography,0,0
Gambling,1,0
Prostitution,164,0
Bribery,0,0
Weapon Law Violations,108,28
TOTAL GROUP A,"3,743",678
Bad Checks,57,0
Curfew/Loitering/Vagrancy,,20
Disorderly Conduct,87,61
Driving Under Influence,255,2
Drunkenness,503,4
"Family Offenses, Nonforcible",75,
Liquor Laws Violations,8,2
Peeping Tom,3,0
Runaway,0,0
Trespass of Real Property,126,17
Conspiracy,0,0
All Other (except Traffic),2597,48
TOTAL GROUP B,3711,154
GRAND TOTAL,7454,832
