Arrests by Offense,Washington,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,6,0
"Sex Offenses, Forcible",11,0
Robbery,2,0
Aggravated Assault,33,2
Simple Assault/Intimidation,298,10
Arson,1,0
Extortion/Blackmail,0,0
Burglary,46,
Larceny,267,12
Motor Vehicle Theft,7,7
Counterfeiting/Forgery,73,0
Fraud,47,0
Embezzlement,29,0
Stolen Property,6,0
Vandalism,24,4
Drug/Narcotic Offenses,62,9
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,16,3
TOTAL GROUP A,931,47
Bad Checks,47,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,16,4
Driving Under Influence,190,6
Drunkenness,263,3
"Family Offenses, Nonforcible",3,
Liquor Laws Violations,15,9
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,34,1
Conspiracy,11,0
All Other (except Traffic),296,87
TOTAL GROUP B,875,110
GRAND TOTAL,1806,157
