Arrests by Offense,Buckingham ,
,Adult,Juvenile
Murder,0,0
Manslaughter,2,0
Kidnaping,7,0
"Sex Offenses, Forcible",8,1
Robbery,0,0
Aggravated Assault,14,5
Simple Assault/Intimidation,111,23
Arson,1,0
Extortion/Blackmail,1,0
Burglary,2,1
Larceny,12,3
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,2,0
Fraud,3,0
Embezzlement,1,0
Stolen Property,2,0
Vandalism,9,2
Drug/Narcotic Offenses,27,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,1
TOTAL GROUP A,207,36
Bad Checks,36,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,1,5
Driving Under Influence,76,2
Drunkenness,13,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,18,5
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,19,3
Conspiracy,0,0
All Other (except Traffic),157,6
TOTAL GROUP B,320,21
GRAND TOTAL,527,57
