Arrests by Offense,Petersburg,
,Adult,Juvenile
Murder,13,0
Manslaughter,0,0
Kidnaping,11,0
"Sex Offenses, Forcible",10,2
Robbery,33,5
Aggravated Assault,89,10
Simple Assault/Intimidation,415,19
Arson,1,0
Extortion/Blackmail,3,0
Burglary,30,12
Larceny,143,8
Motor Vehicle Theft,9,9
Counterfeiting/Forgery,60,0
Fraud,11,0
Embezzlement,13,0
Stolen Property,23,3
Vandalism,46,6
Drug/Narcotic Offenses,196,17
"Sex Offenses, Nonforcible",4,0
Pornography,0,0
Gambling,11,2
Prostitution,3,0
Bribery,0,0
Weapon Law Violations,66,8
TOTAL GROUP A,"1,190",101
Bad Checks,34,0
Curfew/Loitering/Vagrancy,4,87
Disorderly Conduct,138,2
Driving Under Influence,113,1
Drunkenness,75,1
"Family Offenses, Nonforcible",,
Liquor Laws Violations,46,
Peeping Tom,1,0
Runaway,0,11
Trespass of Real Property,135,7
Conspiracy,0,0
All Other (except Traffic),1303,25
TOTAL GROUP B,1849,134
GRAND TOTAL,3039,235
