Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,10,0
"Sex Offenses, Forcible",12,1
Robbery,5,0
Aggravated Assault,46,4
Simple Assault/Intimidation,460,32
Arson,2,0
Extortion/Blackmail,0,0
Burglary,29,2
Larceny,248,21
Motor Vehicle Theft,28,1
Counterfeiting/Forgery,43,0
Fraud,46,0
Embezzlement,20,0
Stolen Property,3,1
Vandalism,27,5
Drug/Narcotic Offenses,278,18
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,27,0
TOTAL GROUP A,"1,287",85
Bad Checks,73,0
Curfew/Loitering/Vagrancy,,3
Disorderly Conduct,41,8
Driving Under Influence,140,2
Drunkenness,94,3
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,8,9
Peeping Tom,1,0
Runaway,0,3
Trespass of Real Property,31,0
Conspiracy,0,0
All Other (except Traffic),866,25
TOTAL GROUP B,1255,53
GRAND TOTAL,2542,138
