Arrests by Offense,Franklin,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",7,1
Robbery,11,0
Aggravated Assault,16,2
Simple Assault/Intimidation,66,4
Arson,0,0
Extortion/Blackmail,0,0
Burglary,15,6
Larceny,71,17
Motor Vehicle Theft,6,0
Counterfeiting/Forgery,8,1
Fraud,16,1
Embezzlement,7,0
Stolen Property,0,0
Vandalism,23,2
Drug/Narcotic Offenses,107,10
"Sex Offenses, Nonforcible",3,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,1
TOTAL GROUP A,365,45
Bad Checks,210,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,17,16
Driving Under Influence,181,3
Drunkenness,145,3
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,46,7
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,80,8
Conspiracy,2,2
All Other (except Traffic),590,31
TOTAL GROUP B,1272,71
GRAND TOTAL,1637,116
