Arrests by Offense,Lexington,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,0,0
Aggravated Assault,5,1
Simple Assault/Intimidation,15,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,,
Larceny,9,3
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,1,0
Fraud,6,0
Embezzlement,0,0
Stolen Property,0,0
Vandalism,4,2
Drug/Narcotic Offenses,20,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,,0
TOTAL GROUP A,63,6
Bad Checks,2,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,3,
Driving Under Influence,58,0
Drunkenness,86,0
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,19,
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,5,1
Conspiracy,0,0
All Other (except Traffic),6,4
TOTAL GROUP B,181,5
GRAND TOTAL,244,11
