yfips,year,fips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
197051001,1970,51001,VA,Accomack County,28908,16906,8808,8098,,5882,,,30,10994,rural,South,South Atlantic,173,,449.324,0,,,,10,1,6,,,,,,6,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197151001,1971,51001,VA,Accomack County,28557,16619,8638,7981,,5790,,,31,10798,rural,South,South Atlantic,173,,449.324,0,,,,11.625,1,8,,,,,,5.625,1.055556,3.25,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197251001,1972,51001,VA,Accomack County,28718,16725,8678,8047,,5846,,,33,10846,rural,South,South Atlantic,173,,449.324,0,,,,13.25,1,10,,,,,,5.25,1.111111,4.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197351001,1973,51001,VA,Accomack County,29549,17303,8974,8329,,6067,,,38,11198,rural,South,South Atlantic,173,,449.324,0,,,,14.875,1,12,,,,,,4.875,1.166667,5.75,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197451001,1974,51001,VA,Accomack County,30554,18138,9406,8732,,6383,,,41,11714,rural,South,South Atlantic,173,,449.324,0,,,,16.5,1,14,,,,,,4.5,1.222222,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197551001,1975,51001,VA,Accomack County,30895,18492,9590,8902,,6539,,,42,11911,rural,South,South Atlantic,173,,449.324,0,,,,18.125,1,16,,,,,,4.125,1.277778,8.25,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197651001,1976,51001,VA,Accomack County,30877,18785,9754,9031,,6623,,,46,12116,rural,South,South Atlantic,173,,449.324,0,,,,19.75,1,18,,,,,,3.75,1.333333,9.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197751001,1977,51001,VA,Accomack County,30893,18867,9812,9055,,6642,,,47,12178,rural,South,South Atlantic,173,,449.324,0,,,,21.375,1,20,,,,,,3.375,1.388889,10.75,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,32272,415,35,380,3,2,1,29,157,212,11,0
197851001,1978,51001,VA,Accomack County,31260,19303,10054,9249,,6785,,,51,12467,rural,South,South Atlantic,173,,449.324,521.4286,,,,23,1,22,,,,,,3,1.444444,12,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,32286,407,20,387,3,0,4,13,113,253,21,0
197951001,1979,51001,VA,Accomack County,31441,19509,10175,9334,,6844,,,53,12612,rural,South,South Atlantic,173,,449.324,580.7429,,,,23.8,1.6,22.2,,,,,,4,1.5,14,3.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
