Court,Net Assessed,Gross Collected,Net Collected,Gross Collection Rate
Circuit,156171.04,92598.94,76857.12,59.3
District,204351.82,229189.88,190227.6,112.2
Juvenile,32860.78,14432.7,11979.14,43.9
