Note,Description
Footnote 1,See Footnote 1 Table: Collection cost percentages of expenses incurred for in-house collections:
Footnote 2,"Collection data is provided by the Supreme Court for all Court Clerk's Offices, unless indicated otherwise. The Commonweath's Attorneys provided their own collection data. The Compensation Board does not attest to the accuracy of this data."
Footnote 3,"For the city localities of Galax, Emporia, Fairfax, Falls Church, Franklin, and Manchester (Richmond) the Supreme Court reports fines and fees collections efforts separately."
