Notes,Description
Footnote 1,Collection cost percentages of actual expenses incurred for in-house collections of unpaid fines and fees: See Footnote 1 Table
Footnote 2,"Collection data for Circuit Court Clerks are provided to the Compensation Board by the Supreme Court, unless otherwise indicated. The Commonwealth's Attorneys provide their own collection data. The Compensation Board does not attest to the accuracy of these data."
Footnote 3,"For the city localities of Galax, Emporia, Fairfax, Falls Church, Franklin , and Manchester (Richmond) the Supreme Court reports fines & fees collections efforts separately."
