Traffic Warrants,FY 2012,FY 2011,FY 2010
Speeding,1522,998,1202
Seat Belt/ Child Seat,1281,663,598
Expired Stickers,873,844,979
Improper Equipment,298,203,182
Stop Sign/Traffic Signal,615,470,552
Suspended/No License,475,379,382
DUI,179,187,155
Reckless Driving,63,62,73
Other Traffic Arrests,"1,952","1,865","1,862"
Total Traffic Warrants,"7,258","5,671","5,985"
