Calendar Year,2007,2008,2009,2010,2011
"Civil Process (Subpoenas, Custody Orders, etc.)",2825,3276,3131,3073,3353
Calls for Service (Sheriff's Office),"10,976","10,180","10,782","11,795","12,221"
Motor Vehicle Accidents with Property Damage,294,243,274,277,222
Motor Vehicle Accidents with Personal Injury,119,96,110,103,37
Traffic Stops,4071,4092,3791,5358,5645
Calls for Service (911 Emergency Services),"20,215","19,670","20,057","20,477","24,452"
