,FY2007 Male ,FY2007 Female ,FY2008 Male ,FY2008 Female
Under 2 Years ,28.50%,17.00%,25.20%,17.50%
2 to 4 Years ,29.00%,21.60%,26.10%,16.20%
4 to 6 Years ,22.40%,20.20%,20.70%,15.90%
6 Years or More ,23.30%,14.30%,19.70%,19.10%
