"Male - FY 2007","Female - FY 2007","Total - FY 2007","Male - FY 2008","Female - FY 2008","Total - FY 2008"
"Violent","25.5%","18.8%","25.2%","21.5%","15.7%","21.1%"
"Property/Public Order","29.6%","19.3%","28.0%","28.1%","17.4%","26.5%"
"Drug","25.2%","15.9%","23.9%","21.1%","17.8%","20.6%"
