Arrests by Offense,Goochland,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,1,0
Aggravated Assault,7,0
Simple Assault/Intimidation,34,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,9,1
Larceny,6,0
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,4,0
Fraud,5,0
Embezzlement,1,0
Stolen Property,1,0
Vandalism,4,0
Drug/Narcotic Offenses,64,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,6,0
TOTAL GROUP A,147,4
Bad Checks,5,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,0,0
Driving Under Influence,121,4
Drunkenness,21,0
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,3,0
Peeping Tom,0,0
Runaway,0,2
Trespass of Real Property,4,0
Conspiracy,1,0
All Other (except Traffic),124,0
TOTAL GROUP B,283,6
GRAND TOTAL,430,10
