Arrests by Offense,Northumberland,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",1,0
Robbery,7,1
Aggravated Assault,13,0
Simple Assault/Intimidation,66,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,9,5
Larceny,27,0
Motor Vehicle Theft,5,0
Counterfeiting/Forgery,2,0
Fraud,5,0
Embezzlement,1,0
Stolen Property,1,0
Vandalism,11,0
Drug/Narcotic Offenses,26,1
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,10,0
TOTAL GROUP A,188,10
Bad Checks,46,0
Curfew/Loitering/Vagrancy,1,0
Disorderly Conduct,4,0
Driving Under Influence,45,0
Drunkenness,48,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,1,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,9,0
Conspiracy,0,0
All Other (except Traffic),200,2
TOTAL GROUP B,355,2
GRAND TOTAL,543,12
