Arrests by Offense,Total State,
,Adult,Juvenile
Murder,270,16
Manslaughter,11,0
Kidnaping,987,43
"Sex Offenses, Forcible",1036,242
Robbery,1623,325
Aggravated Assault,4074,459
Simple Assault/Intimidation,35350,4738
Arson,178,122
Extortion/Blackmail,44,35
Burglary,3464,1018
Larceny,24959,5647
Motor Vehicle Theft,794,236
Counterfeiting/Forgery,2277,64
Fraud,3998,117
Embezzlement,1665,55
Stolen Property,893,152
Vandalism,3529,1229
Drug/Narcotic Offenses,30074,2545
"Sex Offenses, Nonforcible",125,12
Pornography,113,24
Gambling,98,5
Prostitution,905,1
Bribery,13,0
Weapon Law Violations,3678,443
TOTAL GROUP A,120158,17528
Bad Checks,4389,10
Curfew/Loitering/Vagrancy,183,2417
Disorderly Conduct,4409,1309
Driving Under Influence,28794,202
Drunkenness,34612,282
"Family Offenses, Nonforcible",1683,44
Liquor Laws Violations,11630,2103
Peeping Tom,69,5
Runaway,0,4534
Trespass of Real Property,10070,1173
Conspiracy,105,3
All Other (except Traffic),92953,7219
TOTAL GROUP B,188897,19301
GRAND TOTAL,309055,36829
