Arrests by Offense,King George,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",3,1
Robbery,2,0
Aggravated Assault,10,1
Simple Assault/Intimidation,108,4
Arson,0,0
Extortion/Blackmail,0,0
Burglary,5,2
Larceny,33,5
Motor Vehicle Theft,2,1
Counterfeiting/Forgery,2,0
Fraud,3,0
Embezzlement,2,0
Stolen Property,1,0
Vandalism,8,4
Drug/Narcotic Offenses,84,6
"Sex Offenses, Nonforcible",0,0
Pornography,0,1
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,9,0
TOTAL GROUP A,274,25
Bad Checks,10,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,5,6
Driving Under Influence,114,1
Drunkenness,44,1
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,19,7
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,7,0
Conspiracy,0,0
All Other (except Traffic),177,5
TOTAL GROUP B,377,21
GRAND TOTAL,651,46
