Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,12,0
"Sex Offenses, Forcible",16,3
Robbery,10,1
Aggravated Assault,43,4
Simple Assault/Intimidation,470,79
Arson,1,0
Extortion/Blackmail,2,0
Burglary,48,5
Larceny,310,43
Motor Vehicle Theft,10,0
Counterfeiting/Forgery,26,2
Fraud,64,1
Embezzlement,18,0
Stolen Property,16,0
Vandalism,36,17
Drug/Narcotic Offenses,431,26
"Sex Offenses, Nonforcible",4,0
Pornography,3,1
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,41,4
TOTAL GROUP A,1562,186
Bad Checks,52,0
Curfew/Loitering/Vagrancy,1,2
Disorderly Conduct,15,10
Driving Under Influence,420,7
Drunkenness,208,2
"Family Offenses, Nonforcible",42,0
Liquor Laws Violations,101,37
Peeping Tom,1,0
Runaway,0,1
Trespass of Real Property,52,4
Conspiracy,0,0
All Other (except Traffic),1136,103
TOTAL GROUP B,2028,166
GRAND TOTAL,3590,352
