Arrests by Offense,Amherst ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",1,1
Robbery,1,1
Aggravated Assault,13,4
Simple Assault/Intimidation,89,20
Arson,0,0
Extortion/Blackmail,0,0
Burglary,4,3
Larceny,84,27
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,6,0
Fraud,6,0
Embezzlement,2,0
Stolen Property,1,0
Vandalism,7,3
Drug/Narcotic Offenses,127,11
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,22,2
TOTAL GROUP A,366,72
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,9,3
Driving Under Influence,182,3
Drunkenness,168,2
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,26,19
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,7,3
Conspiracy,1,0
All Other (except Traffic),123,6
TOTAL GROUP B,518,36
GRAND TOTAL,884,108
