Arrests by Offense,Fairfax,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",1,0
Robbery,5,0
Aggravated Assault,9,0
Simple Assault/Intimidation,62,2
Arson,1,0
Extortion/Blackmail,0,0
Burglary,2,0
Larceny,45,6
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,6,0
Fraud,15,1
Embezzlement,6,0
Stolen Property,2,1
Vandalism,13,0
Drug/Narcotic Offenses,32,8
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,2,1
TOTAL GROUP A,204,19
Bad Checks,2,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,7,0
Driving Under Influence,132,0
Drunkenness,158,1
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,14,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,16,0
Conspiracy,0,0
All Other (except Traffic),14,2
TOTAL GROUP B,344,4
GRAND TOTAL,548,23
