Arrests by Offense,Chesterfield,
,Adult,Juvenile
Murder,3,1
Manslaughter,0,0
Kidnaping,43,7
"Sex Offenses, Forcible",32,36
Robbery,81,32
Aggravated Assault,108,42
Simple Assault/Intimidation,1391,980
Arson,2,18
Extortion/Blackmail,1,0
Burglary,224,173
Larceny,1130,649
Motor Vehicle Theft,2,1
Counterfeiting/Forgery,213,16
Fraud,210,25
Embezzlement,91,8
Stolen Property,20,16
Vandalism,133,222
Drug/Narcotic Offenses,1105,296
"Sex Offenses, Nonforcible",9,1
Pornography,2,4
Gambling,1,0
Prostitution,50,0
Bribery,2,0
Weapon Law Violations,204,65
TOTAL GROUP A,5057,2592
Bad Checks,72,0
Curfew/Loitering/Vagrancy,2,482
Disorderly Conduct,575,139
Driving Under Influence,1141,10
Drunkenness,13,19
"Family Offenses, Nonforcible",32,3
Liquor Laws Violations,234,138
Peeping Tom,0,0
Runaway,0,709
Trespass of Real Property,220,134
Conspiracy,0,0
All Other (except Traffic),3221,525
TOTAL GROUP B,5510,2159
GRAND TOTAL,10567,4751
