Arrests by Offense,Loudoun,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,10,1
"Sex Offenses, Forcible",20,2
Robbery,13,1
Aggravated Assault,71,12
Simple Assault/Intimidation,563,39
Arson,4,2
Extortion/Blackmail,1,1
Burglary,79,4
Larceny,526,59
Motor Vehicle Theft,50,7
Counterfeiting/Forgery,40,0
Fraud,100,3
Embezzlement,51,4
Stolen Property,12,2
Vandalism,57,12
Drug/Narcotic Offenses,697,41
"Sex Offenses, Nonforcible",2,0
Pornography,10,0
Gambling,0,0
Prostitution,14,0
Bribery,0,0
Weapon Law Violations,49,4
TOTAL GROUP A,2371,194
Bad Checks,57,1
Curfew/Loitering/Vagrancy,1,9
Disorderly Conduct,27,3
Driving Under Influence,993,5
Drunkenness,683,1
"Family Offenses, Nonforcible",16,2
Liquor Laws Violations,147,52
Peeping Tom,2,0
Runaway,0,158
Trespass of Real Property,90,9
Conspiracy,2,0
All Other (except Traffic),1991,352
TOTAL GROUP B,4009,592
GRAND TOTAL,6380,786
