Arrests by Offense,York,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,11,0
"Sex Offenses, Forcible",12,4
Robbery,8,1
Aggravated Assault,15,5
Simple Assault/Intimidation,213,62
Arson,1,2
Extortion/Blackmail,0,0
Burglary,29,10
Larceny,296,51
Motor Vehicle Theft,3,1
Counterfeiting/Forgery,6,1
Fraud,19,3
Embezzlement,32,3
Stolen Property,4,3
Vandalism,29,22
Drug/Narcotic Offenses,274,41
"Sex Offenses, Nonforcible",3,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,19,5
TOTAL GROUP A,975,214
Bad Checks,3,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,6,24
Driving Under Influence,245,4
Drunkenness,120,4
"Family Offenses, Nonforcible",11,0
Liquor Laws Violations,54,42
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,29,3
Conspiracy,0,0
All Other (except Traffic),48,10
TOTAL GROUP B,517,87
GRAND TOTAL,1492,301
